DATE,TOTAL BILLS,INVOICE RANGE,TOTAL TAXABLE AMOUNT,TOTAL TAX AMOUNT,Taxable Amount 0%,Taxable Amount 5%,Taxable Amount 12%,Taxable Amount 18%,TOTAL AMOUNT,CASH,CARD,OTHER MODES,AMOUNT RETURN,AMOUNT RETURN TO CREDIT,TOTAL ITEMS SOLD,TOTAL QTY,RETURNED ITEMS COUNT,RETURNED QTY
21-Mar-20,84,"A/1920/14416, A/1920/14495",107672.45,11206.55,7397,58838.1,8758.93,40075.42,126276,29820,85389,15515,4448,0,394,606,0,0
20-Mar-20,82,"A/1920/14335, A/1920/14415",97742.82,9469.18,4417,58964.76,7651.79,31126.27,111629,41514,69604,5014,4503,0,393,596,1,1
19-Mar-20,56,"A/1920/14279, A/1920/14334",73026.58,6943.42,7208,46796.19,1964.29,24266.1,87178,35412,49929,3270,1433,0,307,491,0,0
18-Mar-20,53,"A/1920/14226, A/1920/14278",49306.18,3287.82,5382.5,42637.14,741.07,5927.97,57977,35300,19779,7358,4460,0,264,429,0,0
17-Mar-20,46,"A/1920/14180, A/1920/14225",24573.38,2215.7,3304.92,16513.11,1013.39,7046.88,30094,11787,16057,3920,1670,0,196,250,0,0
16-Mar-20,43,"A/1920/14137, A/1920/14179",33792.31,2195.69,2528,29402.86,1075.89,3313.56,38516,18597,19995,2570,2646,0,215,287,0,0
15-Mar-20,77,"A/1920/14062, A/1920/14136",75226.72,6801.28,6522,50031.43,3924.11,21271.19,88550,26100,54616,9922,2088,0,390,560,4,6
14-Mar-20,70,"A/1920/13992, A/1920/14061",50836.81,3991.19,5993,37918.1,3834.82,9083.9,60821,18525,38954,6725,3383,0,348,462,0,0
13-Mar-20,32,"A/1920/13960, A/1920/13991",34564.88,4020.12,4188,16685.71,540.18,17338.98,42773,13553,16981,12875,636,0,136,210,0,0
12-Mar-20,36,"A/1920/13926, A/1920/13959",29732.09,2071.28,3775.63,24624.73,1321.34,3786.02,35579,-4510,20642,22720,3273,0,182,285,2,2
11-Mar-20,39,"A/1920/13887, A/1920/13925",22225.6,1539.4,2310,18680.95,544.64,3000,26075,16693,10615,2110,3343,0,147,215,0,0
10-Mar-20,40,"A/1920/13847, A/1920/13886",15849.11,1080.89,4803,13152.38,1035.71,1661.02,21733,16150,2435,6273,3125,0,110,162,0,0
09-Mar-20,52,"A/1920/13797, A/1920/13846",83209.69,10939.31,5480,30042.86,2214.29,50952.54,99629,40440,48611,12790,2212,0,251,363,14,36
08-Mar-20,71,"A/1920/13728, A/1920/13796",67299.56,7980.74,7204.2,30582.19,2625,34092.37,82485,35483,38823,12203,4024,0,294,370,2,3
07-Mar-20,69,"A/1920/13660, A/1920/13727",27227.95,2057.05,2615,20885.71,2147.32,4194.92,31900,8864,21809,4844,3617,0,209,244,1,1
06-Mar-20,51,"A/1920/13612, A/1920/13659",42585.03,5519.97,1828,15876.19,1357.14,25351.69,49933,7855,43277,1013,2212,0,164,203,4,5
05-Mar-20,43,"A/1920/13569, A/1920/13611",31389.37,3055.63,1453,19438.1,1125,10826.27,35898,13870,16979,6629,1580,0,127,188,0,0
04-Mar-20,48,"A/1920/13522, A/1920/13568",0,0,56949.76,0,0,0,56950,31072,22725,5595,2442,0,135,182,1,1
03-Mar-20,45,"A/1920/13477, A/1920/13521",0,0,39999,0,0,0,39999,29431,11833,3573,4838,0,163,699,0,0
02-Mar-20,42,"A/1920/13435, A/1920/13476",0,0,50480,0,0,0,50480,23535,14718,13503,1276,0,142,214,0,0
01-Mar-20,67,"A/1920/13369, A/1920/13434",0,0,60228.75,0,0,0,60229,14478,43929,3329,1507,0,366,435,1,1
29-Feb-20,53,"A/1920/13316, A/1920/13368",0,0,41893.6,0,0,0,41894,9658,32189,1623,1576,0,218,269,0,0
28-Feb-20,36,"A/1920/13280, A/1920/13315",0,0,31880,0,0,0,31880,14407,18725,1609,2861,0,142,293,0,0
27-Feb-20,34,"A/1920/13247, A/1920/13279",0,0,23309,0,0,0,23309,9165,12559,4835,3250,0,125,175,1,1
26-Feb-20,36,"A/1920/13211, A/1920/13246",0,0,56379,0,0,0,56379,26570,24782,7743,2716,0,205,306,0,0
25-Feb-20,33,"A/1920/13178, A/1920/13210",0,0,41028,0,0,0,41028,18415,22038,2910,2335,0,142,177,0,0
24-Feb-20,57,"A/1920/13123, A/1920/13177",0,0,71439,0,0,0,71439,38213,23726,12640,3140,0,183,277,2,5
23-Feb-20,57,"A/1920/13067, A/1920/13122",0,0,52109,0,0,0,52109,12705,39261,2616,2473,0,237,331,1,1
22-Feb-20,58,"A/1920/13009, A/1920/13066",0,0,68081.5,0,0,0,68082,12560,41508,14835,821,0,248,344,0,0
